ArtefactID,Object,SiteName,Country,Length,BladeWidth,ButtWidth,MaxThick,Weight
ID5325,axehead (palstave),"St Tudy, Tregarrick Farm",England,171,52.9,21.1,41.3,529
ID5328,axehead (palstave),"St Tudy, Tregarrick Farm",England,188,53.5,23.3,46.3,644
ID5333,axehead (palstave),"St Tudy, Tregarrick Farm",England,171,54.4,23.5,42.9,542
ID5330,axehead (palstave),"St Tudy, Tregarrick Farm",England,181,54.9,18.6,37,566
ID5332,axehead (palstave),"St Tudy, Tregarrick Farm",England,158,55.7,23,36,495
ID5329,axehead (palstave),"St Tudy, Tregarrick Farm",England,165,57.2,21.5,39.2,451
ID5331,axehead (palstave),"St Tudy, Tregarrick Farm",England,143,58.4,21.9,41.8,389
ID8381,axehead (palstave),St Mildreds Bay (Thanet),England,150,58,19,27,349
ID8382,axehead (palstave),St Mildreds Bay (Thanet),England,160,58,19,29,362
ID8384,axehead (palstave),St Mildreds Bay (Thanet),England,165,58,19,29,414
ID8383,axehead (palstave),St Mildreds Bay (Thanet),England,148,59,18,24,287
ID8380,axehead (palstave),St Mildreds Bay (Thanet),England,168,60,15,23,342
ID8379,axehead (palstave),St Mildreds Bay (Thanet),England,163,62,19,27,328
ID8378,axehead (palstave),St Mildreds Bay (Thanet),England,169,62,18,28,342
ID5318,axehead (palstave),"St Mellion, Herrod Down",England,136.2,50.8,20.4,31.7,347
ID3807,axehead (palstave),St Margaret's-at-Cliffe (parish),England,134.6,53.9,19.6,32,420
ID5323,axehead (palstave),"St Kew, Tregilders",England,160,51.6,19,40,524
ID9132,axehead (palstave),"St Harmon, Cwmysaeson, Glanrhyd",Wales,161,58,22,30,464
ID9131,axehead (palstave),"St Harmon, Cwm-yr-ychen Farm",Wales,172,62,20,28,538
ID3745,axehead (palstave),St Fagans (South),Wales,150,52,17,26,337
ID3803,axehead (palstave),St Fagans (River Ely),Wales,139,52,21,32,414.7
ID8049,axehead (palstave),St Asaph (near),Wales,141,66,22,27.5,326
ID3799,axehead (palstave),Sproatley,England,123,36,21,30,295
ID2130,axehead (palstave),Sporle and North Pickenham (between),England,174,43,21,33,535
ID1842,axehead (palstave),"Speen (near Bagnor), Donnington Grove",England,144,65,28,25,432
ID4397,axehead (palstave),Sowerby-by-Halifax (near),England,132,35,22,27.5,300
ID3789,axehead (palstave),Southery (near),England,148,43,24,30,322
ID3785,axehead (palstave),"Southend-on-Sea, Southchurch",England,167,58,21,30,506.8
ID3788,axehead (palstave),"Southend-on-Sea, Shoebury/Great Wakering",England,165,58,21,29,470.2
ID3279,axehead (palstave),"Southampton, Pear Tree Green",England,151,53,20,24,291
ID3280,axehead (palstave),"Southampton, Pear Tree Green",England,147,55,19,31,315
ID3780,axehead (palstave),"Southampton, Pear Tree Green",England,157,55,22,29,347
ID3771,axehead (palstave),"Southampton, Pear Tree Green",England,138,55,22,25,383
ID3766,axehead (palstave),"Southampton, Pear Tree Green",England,141,57,18,24.5,319
ID3764,axehead (palstave),"Southampton, Pear Tree Green",England,142,58,21,25,347
ID3770,axehead (palstave),"Southampton, Pear Tree Green",England,167,64,21,24,354
ID5160,axehead (palstave),Southall,England,141,51,19.5,25.5,273.3
ID5162,axehead (palstave),Southall,England,166,57,23.5,32,394.8
ID5159,axehead (palstave),Southall,England,172,66,24,32,584.4
ID5161,axehead (palstave),Southall,England,147,67,19.5,29,372.9
ID5379,axehead (palstave),"South Petherton, Wigborough Farm",England,135.7,38.5,21.5,28,277
ID5378,axehead (palstave),"South Petherton, Wigborough Farm",England,168.9,60.9,18,26,464
ID5663,axehead (palstave),South Harting,England,159,58,21,29,357.8
ID8373,axehead (palstave),"South Cliff (Thanet), South Dumpton Down, Broadstairs",England,178,65,22,26.5,484
ID3733,axehead (palstave),"Somersham Fen, The Cranbrook",England,135,32,24,36,392
ID9395,axehead (palstave),"Solva, Middle Hill Quarry",Wales,160,49,25,34,468
ID3730,axehead (palstave),Soham Fen,England,155,67,20,27,394
ID10779,axehead (palstave),Smeeth (parish),England,157.81,56.07,22.27,23.96,370
ID3723,axehead (palstave),Sleaford (bed of old River Slea),England,135,61,21,27,286
ID3362,axehead (palstave),Sittingbourne?,England,192,67,23,30,595.3
ID3219,axehead (palstave),"Sittingbourne, Murston (1 mile NE of, about the same distance from Watling Street)",England,135,60,22,29,361
ID11053,axehead (palstave),Silverton,England,146.7,52.2,21.6,34.7,337
ID3719,axehead (palstave),Silchester,England,123,59,17,15,802
ID8006,axehead (palstave),"Sidlesham (Siddlesham), Rookery Farm",England,163,31,25,30,354
ID8007,axehead (palstave),"Sidlesham (Siddlesham), Rookery Farm",England,160,42,22,31,330
ID3143,axehead (palstave),"Shrewsbury, Meole Brace, Hanwood Road (Edgebold Brickyard)",England,148,45,21,33,335
ID3142,axehead (palstave),"Shrewsbury, Meole Brace, Hanwood Road (Edgebold Brickyard)",England,149,50,23,33,344
ID1880,axehead (palstave),"Shrewsbury, Battlefield",England,143.5,51,22.5,30.5,336
ID3713,axehead (palstave),Shrewsbury (in or near),England,155,63,22,34,461
ID3712,axehead (palstave),Shotesham (parish),England,121,51,21,26.5,247
ID3665,axehead (palstave),Shoeburyness,England,150,56,21,21.5,322
ID3663,axehead (palstave),Sheriffhales (parish),England,159.16,59.9,20,29.16,398
ID11629,axehead (palstave),Shenstone (parish),England,150.8,49.9,22.7,31.6,412.6
ID3656,axehead (palstave),"Shelf, Upper Westcroft Quarry",England,175,47,26,38,604
ID4354,axehead (palstave),Sheffield?,England,143,67,21,26,397
ID3651,axehead (palstave),Sheerness,England,156,51,16,23,326
ID3648,axehead (palstave),Shalstone (parish),England,164.36,47.65,21,25.01,380
ID3641,axehead (palstave),Shalfleet (parish),England,162,59,20,29,492.8
ID3643,axehead (palstave),Shalfleet (parish),England,161,59,20.5,36,502.2
ID3640,axehead (palstave),Shalfleet (parish),England,165,61,20,30,491.6
ID3642,axehead (palstave),Shalfleet (parish),England,164,61,19,29,500.4
ID3636,axehead (palstave),Shadoxhurst (parish),England,141.6,42.1,18,22.5,290
ID10611,axehead (palstave),"Send, Brook Lane (Falconwood)",England,156,65,22.5,30,426.74
ID3629,axehead (palstave),"Selborne, Blackmoor House",England,165,70,22,27,435
ID11570,axehead (palstave),Seal (parish),England,157,43.92,24.9,32.64,500
ID3614,axehead (palstave),Sandown (parish),England,131.8,32.6,19.5,28.6,277.75
ID3611,axehead (palstave),"Saltwood (near Hythe), Sandling Park",England,151.5,69,20,29,448
ID3612,axehead (palstave),"Saltwood (near Hythe), Sandling Park",England,174,75,21,33,591
ID5649,axehead (palstave),"Salcombe, Site B",England,175,27,24,33,466
ID5650,axehead (palstave),"Salcombe, Site B",England,176,33,22,27,356
ID2927,axehead (palstave),"Ryde, St Johns Park (Leavington House)",England,156,41,19,28,394.5
ID2925,axehead (palstave),"Ryde, St Johns Park (Leavington House)",England,154,43,17.5,30,450
ID2922,axehead (palstave),"Ryde, St Johns Park (Leavington House)",England,152,51,19,27.5,298
ID2924,axehead (palstave),"Ryde, St Johns Park (Leavington House)",England,160,54,22,26,406
ID2928,axehead (palstave),"Ryde, St Johns Park (Leavington House)",England,159,60,19,26,403
ID2923,axehead (palstave),"Ryde, St Johns Park (Leavington House)",England,163,63,18.5,24.5,343
ID2929,axehead (palstave),"Ryde, St Johns Park (Leavington House)",England,165,64,19,25,431
ID3609,axehead (palstave),Rycote (near Thame),England,157,65,22,26,397
ID8087,axehead (palstave),Ruthin Castle (SW of),Wales,160,71,20,31,500.1
ID2496,axehead (palstave),Ruabon,Wales,167,52,22,31,496
ID5076,axehead (palstave),"Roundhay, Lidgett Park, The Avenue",England,156,50,26,35.5,414
ID5056,axehead (palstave),"Roundhay, Lidgett Park, The Avenue",England,176,54,30,35,616
ID9901,axehead (palstave),Rotherwick (parish),England,95.05,34.82,16.5,20.72,140.2
ID9900,axehead (palstave),Rotherwick (parish),England,164.65,62.99,19.5,24.08,394.8
ID3572,axehead (palstave),"Ross-on-Wye, Merrivale",England,129,49,18,28,272.9
ID3571,axehead (palstave),Ross-on-Wye,England,140,59,23,31,346
ID3562,axehead (palstave),"Romford, Hainault Forest",England,154,51,29,28,463
ID3563,axehead (palstave),"Romford, Hainault Forest",England,165,63,23,34,586
ID3559,axehead (palstave),"Romford, 15 Manor Road",England,175,62,20,29.9,500
ID3556,axehead (palstave),Rodney Stoke Wood,England,150,60,22,31,403.5
ID7406,axehead (palstave),River Rother,England,144.5,52.8,20.9,28,325.7
ID3525,axehead (palstave),Richborough (near),England,160,49,17,30,396.9
ID3520,axehead (palstave),Richborough (near),England,168,65,24,27,467.8
ID3521,axehead (palstave),Richborough,England,162,63,21.5,27.5,432
ID7743,axehead (palstave),Reigate Heath,England,150,66,21,31,450
ID3515,axehead (palstave),Reculver,England,163,63,19,24,335
ID3548,axehead (palstave),"Reading (River Thames, W of Caversham)",England,145,59,22,31,396.9
ID3534,axehead (palstave),Reading (River Kennet),England,160,52,28,35,507
ID7083,axehead (palstave),Reading (near),England,143,51,14,22,203
ID3512,axehead (palstave),Reach Fen,England,168,72,22,27.5,435
ID3510,axehead (palstave),Rayne,England,148,57,22,29,355.7
ID3503,axehead (palstave),Rainham (Chatham),England,126,47,21,34,320
ID3502,axehead (palstave),"Raglan, Penrhos",Wales,140,56,19,30,323
ID3501,axehead (palstave),Raglan (near),Wales,145,38,23,34,508
ID3500,axehead (palstave),Radstock,England,145,49,21,30,354
ID3482,axehead (palstave),"Pusey, Gainfield Farm",England,147,58,23,30,358
ID1910,axehead (palstave),Prittlewell and Rochford (between),England,149.5,51.5,22,31.5,428.8
ID1911,axehead (palstave),Prittlewell and Rochford (between),England,172,60,21,31,500
ID3473,axehead (palstave),Priddy (parish),England,176,53.8,20,35,532
ID3472,axehead (palstave),Priddy (parish),England,146.7,54.9,21.9,35.1,389
ID3471,axehead (palstave),Preston?,England,135,34,22,27.5,266
ID425,axehead (palstave),"Preston-on-the-Weald Moors (?Crow Brook, field 20 yards SE of the culvert where the main road crosses from Kingley Wood to Preston)",England,175,78,24,39,599
ID3470,axehead (palstave),Preston Capes (parish),England,159,63.77,23.5,26.43,383
ID3468,axehead (palstave),"Prees, Brades Farm (Pits Field)",England,174,74.9,25,33,590.9
ID11615,axehead (palstave),Prees (parish),England,162,61,22.1,25.9,449
ID9990,axehead (palstave),Portsmouth,England,127,24.5,24,20.6,192.69
ID9991,axehead (palstave),Portsmouth,England,149,29,24,26,250.71
ID9986,axehead (palstave),Portsmouth,England,135,40,33,30.5,351.4
ID9985,axehead (palstave),Portsmouth,England,144,42,17,30,324
ID9992,axehead (palstave),Portsmouth,England,152,47,18.5,30.4,356
ID10333,axehead (palstave),"Plumpton, Warningore Farm (N scarp of South Downs)",England,134,39,20,28,240
ID11057,axehead (palstave),Picton,England,151,62.5,18,27,322.4
ID7806,axehead (palstave),"Pewsey, Milton Hill",England,135,63,23,32,390
ID3449,axehead (palstave),"Peterchurch, Urishay Common (Pucha Farm/Ivy House)",England,161,65,25,28,496.1
ID10539,axehead (palstave),"Peterborough, Fengate?",England,155,44,24,32.5,400
ID3444,axehead (palstave),Perranzabuloe,England,161,49,21,39,495
ID7222,axehead (palstave),Penzance (near),England,137,64,21,30,335.8
ID3440,axehead (palstave),"Penrhyn, College Wood",Wales,165,53,20,35,514
ID3438,axehead (palstave),"Penrhoslligwy/Llaneugrad, Lligwy",Wales,143,40,22,26,332
ID9268,axehead (palstave),"Pencader, Gwndwn",Wales,156,48,24,33,340
ID3426,axehead (palstave),Pembury (parish),England,154.52,58.51,23.15,27.17,450
ID3419,axehead (palstave),Peasedown St John,England,169,68,25,30,491.5
ID3415,axehead (palstave),Pangbourne,England,164,67,23,26,468
ID3413,axehead (palstave),Pagham (parish),England,166,63.6,23,28.5,449
ID2457,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,177,63,21,27.5,476.3
ID7882,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,173,64,22,27,445.3
ID2458,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,171,64,22,27,455
ID7883,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,177,64,22,28,460.6
ID2452,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,176,64,27,34,614.4
ID2453,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,179,67,23,29,473.1
ID2454,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,175,67,23,28,480
ID2455,axehead (palstave),"Oxford, Leopold Street and Cowley Road (Tramway Stables)",England,178,68,22,28,473
ID3410,axehead (palstave),"Oxford, Burgess Meadow",England,176,64,21,27,445
ID3408,axehead (palstave),Oxborough,England,145,64,19.5,23,328
ID3405,axehead (palstave),Owslebury,England,139,41,21,24,276
ID3404,axehead (palstave),Overton (parish),England,166,59,23,27,398
ID3402,axehead (palstave),"Ottery St Mary, Escot House",England,144.1,58.3,21,35.95,359
ID2669,axehead (palstave),"Ottery St Mary (River Otter, 0.25 miles S of Fenny Bridges, Feniton)",England,135,54,20.8,32.9,300.1
ID9851,axehead (palstave),Ottery St Mary (parish),England,141,53.8,22.17,30,315
ID9942,axehead (palstave),"Otterden, Hall Place",England,157,57,16,26,360
ID9939,axehead (palstave),"Otterden, Hall Place",England,159,60,19,24,427
ID9952,axehead (palstave),"Otterden, Hall Place",England,174,62,19.5,27,448
ID9944,axehead (palstave),"Otterden, Hall Place",England,163,63,17,23,344
ID9947,axehead (palstave),"Otterden, Hall Place",England,175,63,19,25,382
ID9951,axehead (palstave),"Otterden, Hall Place",England,165,63,19,28,427
ID9945,axehead (palstave),"Otterden, Hall Place",England,182,64,18,24,395
ID9946,axehead (palstave),"Otterden, Hall Place",England,145,65,21,26,355
ID9940,axehead (palstave),"Otterden, Hall Place",England,156,65,17,25,356
ID9949,axehead (palstave),"Otterden, Hall Place",England,183,67,19,30,468
ID9937,axehead (palstave),"Otterden, Hall Place",England,164,68,18.5,26,326
ID9953,axehead (palstave),"Otterden, Hall Place",England,168,68,20.5,25,409
ID9948,axehead (palstave),"Otterden, Hall Place",England,184,72,19.5,26,502
ID7828,axehead (palstave),"Ombersley, Lineholt Common",England,164,68,21,32,496
ID8307,axehead (palstave),"Ollerton, Childs Ercall",England,165,69,22,33,512
ID3389,axehead (palstave),"Old Hunstanton, Caley Hall Farm",England,163,64,21,32.5,485.7
ID3375,axehead (palstave),"Nursling, Patterson's Gravel Pit (a quarter mile NE of Nursling Church)",England,147,54,20,25.5,227
ID3372,axehead (palstave),"Nottingham, Great Freeman Street",England,143,39,20,33,349
ID3354,axehead (palstave),North Tuddenham (parish),England,122,53,20.3,27,236
ID11087,axehead (palstave),North Tuddenham,England,160,66.2,22.3,28,375
ID5347,axehead (palstave),"North Bovey, Yarde Farm (Yardworthy Farm?)",England,125,48.6,17,21,135
ID5314,axehead (palstave),"North Bovey, Week",England,173,54.8,22,36,509
ID5315,axehead (palstave),"North Bovey, Week",England,141.2,56,22,35.5,400
ID9129,axehead (palstave),Newtown,Wales,168,56,20,26,370
ID11668,axehead (palstave),Newton Poppleford and Harpford (parish),England,167.2,54.7,23.4,24.6,380
ID11670,axehead (palstave),Newton Poppleford and Harpford (parish),England,164,55.2,19.8,27.7,366
ID11669,axehead (palstave),Newton Poppleford and Harpford (parish),England,160.3,58.2,20.4,28.1,352
ID9293,axehead (palstave),"Newton Nottage, Porthcawl (Golf Course)",Wales,135,45,19,24,227
ID3081,axehead (palstave),"Newport, Liswerry",Wales,151,63,22,28,297.5
ID2503,axehead (palstave),Newhaven (near),England,157,62,23,25,397
ID3316,axehead (palstave),Newbury (near),England,168,61,20,26,386
ID3320,axehead (palstave),Newbury (near),England,167,67,20,28,385.8
ID3315,axehead (palstave),"Newark-on-Trent (River Trent, about 180m NE of Great North Road bridge)",England,163,69,20.5,30,453
ID11156,axehead (palstave),New Moat,Wales,157,52,25,31.6,316
ID3313,axehead (palstave),Nevern (300m ENE of Pentre Ifan Cromlech),Wales,137,46,18,27,269
ID5628,axehead (palstave),Netherhampton (Salisbury hoard),England,126,55,23,34,337.8
ID11074,axehead (palstave),Nelson,Wales,108.6,37.4,18,23.5,194.6
ID9506,axehead (palstave),Nantmel (community),Wales,165,39.2,21.9,29.8,424.6
ID9556,axehead (palstave),Nantmel (community),Wales,170,39.6,22.2,29.1,422.2
ID9555,axehead (palstave),Nantmel (community),Wales,166,39.9,22.2,28.7,409.7
ID9554,axehead (palstave),Nantmel (community),Wales,167,40.2,21.4,28.8,411.6
ID9505,axehead (palstave),Nantmel (community),Wales,163,44.1,22.9,28.5,410
ID5455,axehead (palstave),Mynydd/Cefn Eglwysilan,Wales,146,52,22,18,265.5
ID3220,axehead (palstave),"Myndtown, Asterton Prolley Moor, Fir Tree Farm (Moor Field)",England,141,59,24,38,443
ID3218,axehead (palstave),"Much Marcle, Oldbury Hill",England,147,50,23,28,336.9
ID5164,axehead (palstave),"Much Marcle, Gamage Farm, Lambscott",England,124,47,21,28,278
ID5166,axehead (palstave),"Much Marcle, Gamage Farm, Lambscott",England,122,48,19.5,27,260
ID5167,axehead (palstave),"Much Marcle, Gamage Farm, Lambscott",England,134,50,22.5,29,285
ID5163,axehead (palstave),"Much Marcle, Gamage Farm, Lambscott",England,144,50,21,30,338
ID5165,axehead (palstave),"Much Marcle, Gamage Farm, Lambscott",England,137,53,20,31,323
ID5302,axehead (palstave),Moretonhampstead,England,139.3,47,21,32,294
ID3198,axehead (palstave),Mollington (parish),England,158,57.61,19.76,25.22,245.3
ID3197,axehead (palstave),"Molesey-on-Thames, Island Barn Farm (River Mole delta)",England,145,36,19.5,30,345.8
ID3196,axehead (palstave),"Mold, Rhual",Wales,152,67,22,29,363
ID5620,axehead (palstave),Mitcham,England,154,42,19.5,25.5,372.2
ID3193,axehead (palstave),Misson (River Idle),England,159,63,19.5,28,354
ID3190,axehead (palstave),"Minstead, Clay Hill",England,157.2,48.2,25.2,28.3,445.6
ID3184,axehead (palstave),"Milton (near Portsmouth lunatic asylum, E side of Portsea Island)",England,149,67,21,27,356
ID9359,axehead (palstave),Milford Haven (or Manorbier),Wales,171,37,24,35,437.3
ID3179,axehead (palstave),"Mildenhall, West Row, Haylands Drove (Dulver Farm)",England,158,67,18.5,28.5,376
ID3168,axehead (palstave),Mildenhall (or Stibbard?),England,112,43,17,21.5,154.1
ID3175,axehead (palstave),Mildenhall (near),England,142,58,25,34,503
ID3173,axehead (palstave),Mildenhall (near),England,170,69,22,32,534
ID3172,axehead (palstave),Mildenhall (near),England,152,70,16,35,411
ID3169,axehead (palstave),Mildenhall,England,127,57,22,26,292.6
ID3167,axehead (palstave),Milborne Port,England,142,52,20,31,333
ID8732,axehead (palstave),"Michael, Orrisdale Brooghs (foot of)",Isle of Man,156,60,33,36,680.38
ID3158,axehead (palstave),Mettingham,England,166,45,20,30,421
ID3152,axehead (palstave),"Methwold, Hanging Drove (500 yards N of Abbey Farm, Context 2)",England,153,73,20,23,450
ID3153,axehead (palstave),Methwold,England,148,54,20,27,303
ID11255,axehead (palstave),Methwold,England,148,78.5,22.8,24,380
ID3149,axehead (palstave),Merton (parish),England,160.3,64.59,22,30,485
ID3148,axehead (palstave),Mersham (parish),England,141.1,48.7,19.2,24,300
ID3138,axehead (palstave),Melbourn (parish),England,149.5,69.2,23.6,24.1,369.33
ID5266,axehead (palstave),"Mawgan-in-Pydar, Lanherne House (Long Moor)",England,157,62,28,40,540
ID3134,axehead (palstave),Mautby (parish),England,104,44,22,26,232
ID5210,axehead (palstave),Martlesham (or Stibbard?),England,117,40,17,23,160
ID3127,axehead (palstave),Martlesham (or Stibbard?),England,101,43,21,21,153
ID11201,axehead (palstave),Martin,England,105.44,40.95,18,20.18,164.65
ID3123,axehead (palstave),Market Weighton (near),England,144,55,17,28,396.9
ID3122,axehead (palstave),Market Bosworth,England,166,69.5,23,32.5,509
ID3119,axehead (palstave),March Fen,England,163,68,23,24,390
ID10995,axehead (palstave),"Marbury cum Quoisley, Bank Farm",England,166,63,17,34,421.5
ID3118,axehead (palstave),Marazion Marshes,England,144,53,27,37.5,470
ID11727,axehead (palstave),"Manston (Thanet), Kent International Business Park, Cleve Court",England,171,44,22,34.5,416
ID11728,axehead (palstave),"Manston (Thanet), Kent International Business Park, Cleve Court",England,158,45,22,31,394
ID10714,axehead (palstave),Manston (Thanet),England,174,58,18,26,454
ID10723,axehead (palstave),Manston (Thanet),England,172,59.27,18,25.22,430
ID10721,axehead (palstave),Manston (Thanet),England,173,62,18,27,470
ID10716,axehead (palstave),Manston (Thanet),England,180,64,19,27,431
ID10722,axehead (palstave),Manston (Thanet),England,167,64.97,18,25.86,420
ID10712,axehead (palstave),Manston (Thanet),England,180,65,20,26,466
ID10718,axehead (palstave),Manston (Thanet),England,178,66,19,27,474
ID9923,axehead (palstave),Manston (Thanet),England,162.5,66.5,16.5,31,456
ID10717,axehead (palstave),Manston (Thanet),England,176,66.5,18.5,27,478
ID10724,axehead (palstave),Manston (Thanet),England,160,66.66,16,25.34,410
ID10713,axehead (palstave),Manston (Thanet),England,174,67,19,26,448
ID10719,axehead (palstave),Manston (Thanet),England,171,67,17,26,464
ID10715,axehead (palstave),Manston (Thanet),England,178,67,19,28,473
ID10720,axehead (palstave),Manston (Thanet),England,176,67,20,28,481
ID9920,axehead (palstave),Manston (Thanet),England,167,67,16,31,506
ID9929,axehead (palstave),Manston (Thanet),England,177,68,18,27,480
ID9926,axehead (palstave),Manston (Thanet),England,181,68,18,32,503
ID9921,axehead (palstave),Manston (Thanet),England,168.5,71,16,31,459
ID9924,axehead (palstave),Manston (Thanet),England,173,71,19,26,478
ID9927,axehead (palstave),Manston (Thanet),England,178,74.5,20,27,491
ID9922,axehead (palstave),Manston (Thanet),England,176,75,20,28,475
ID5003,axehead (palstave),"Manchester, Openshaw (Whitworth Works)",England,172,74,20,36,538
ID3114,axehead (palstave),"Maidstone, Sutton Road (woodland near The Bell Inn/The Blue Door)",England,143,55,20,20,248
ID3112,axehead (palstave),Maentwrog,Wales,123,42,25,32,337.8
ID3111,axehead (palstave),Lytchett Minster and Upton (parish),England,126.09,54.29,22,33,310
ID5354,axehead (palstave),Lyng (Athelney),England,166,66,21.5,36,430
ID3109,axehead (palstave),Lydney,England,152,42,24,34,407
ID3106,axehead (palstave),Luston (parish),England,141.7,69.8,24.7,24.5,396.7
ID3104,axehead (palstave),"Lubbesthorpe, Hat Farm (Big Hat Field)",England,129,49,21,27,255
ID3097,axehead (palstave),Low Toynton,England,162,44,23,40,510
ID3550,axehead (palstave),London (River Thames)?,England,167.5,61,17,26,425
ID3917,axehead (palstave),London (River Thames),England,162,66,22,27,397
ID7479,axehead (palstave),London (River Thames),England,168,67,20,24,453
ID3221,axehead (palstave),"Llysworney, Mynydd Bychan",Wales,161,67,18,30,440
ID9384,axehead (palstave),"Llanycil, Maestron, Blaen-y-cwm Uchaf",Wales,148,31,15,23,255
ID6043,axehead (palstave),"Llanuwchllyn, Plas-Morgan (SE side of Garthfawr)",Wales,178,71,23,33,638
ID9420,axehead (palstave),"Llantysilio (Llantisilio), Eglwyseg",Wales,151,43,23,36,446.5
ID3076,axehead (palstave),"Llantwit Major, Hayes House",Wales,126,40,24,33,346
ID3077,axehead (palstave),Llantwit Major (community),Wales,124.85,54.57,19.76,25.94,273.7
ID8889,axehead (palstave),Llantwit Major (community),Wales,150.2,55.3,19.7,31,341.8
ID8888,axehead (palstave),Llantwit Major (community),Wales,155,65.5,23.5,32,405.4
ID3075,axehead (palstave),Llantwit Fardre (community),Wales,148.3,54.6,18,30.3,346.2
ID9724,axehead (palstave),Llantwit Fardre (community),Wales,145.9,62,24.5,36.6,475.5
ID11070,axehead (palstave),"Llantwit Fadre, Nant y Gedrys",Wales,106.5,42.1,18.5,25.6,173.1
ID11082,axehead (palstave),"Llantrisant, Dyffryn-Uchaf",Wales,166,77.1,22.8,34.6,361.8
ID3073,axehead (palstave),Llantrisant Fawr (parish),England,149.8,56.6,22.5,31,392.9
ID9213,axehead (palstave),Llanrug,Wales,111,51,29,30,276
ID11068,axehead (palstave),"Llanover, Panpergwm",Wales,138.3,55,23.2,32.8,361.8
ID2352,axehead (palstave),Llannon,Wales,157,63,18,28,409
ID3072,axehead (palstave),"Llanidloes, Hiraeth Farm",Wales,161.5,63.5,23,34,530
ID3070,axehead (palstave),"Llangwyllog, Cerrig Ddewi",Wales,162,78,25,30,439
ID3507,axehead (palstave),"Llangurig, Clochfaen Farm",Wales,164,69,23,23,416.8
ID3068,axehead (palstave),Llangollen,Wales,159,52,19,24,254
ID2766,axehead (palstave),"Llangernyw/Gwytherin, Caecoed Farm (Y Waun or Ffridd Ucha field)",Wales,136,45,23,19,265
ID5965,axehead (palstave),"Llangelynin, Arthog, Bronlletty-ifan Farm",Wales,153,51,23,25,337.5
ID2906,axehead (palstave),Llangefni,Wales,161,57,28,34,454
ID2502,axehead (palstave),"Llangedwyn (Llansilin), Penybont Hall",Wales,164,59,22,29,417.5
ID3067,axehead (palstave),"Llangathen, Cilsan-uchaf Farm",Wales,133,51,21,31,311
ID3064,axehead (palstave),"Llanfyllin, Darn Gallop",Wales,166,74,23,35,510
ID3063,axehead (palstave),"Llanfyllin, Coed Llan",Wales,168,67,24,34,533
ID3062,axehead (palstave),Llanfrynach (community),Wales,167,65.1,18.3,33.1,503.4
ID3061,axehead (palstave),"Llanfedw/Michaelston-y-fedw, Bridge Farm (just N of Square Wood)",Wales,164,72,25,32.5,574
ID3059,axehead (palstave),Llanfair (near),Wales,177,43,29,41,606
ID6016,axehead (palstave),"Llanegryn, Peniarth-uchaf, Coed-y-graig",Wales,147,54,25,34,553.3
ID3057,axehead (palstave),"Llanegryn, Hen Siop",Wales,164,70,20,31,526
ID5961,axehead (palstave),"Llanedern, Llanrumney, Ball Road School (River Rhymney)",Wales,131,64,24,24,315.6
ID3054,axehead (palstave),"Llandwrog, Rhos Maellan (near Dinas Dinlle)",Wales,163,69,24,27,524.5
ID3052,axehead (palstave),"Llandrinio, Trederwen Farm",Wales,146,48,21,33,351
ID3048,axehead (palstave),"Llandinam, Trewythen Fawr Farm (field 400 yards SSW of)",Wales,167,71,20,34,491
ID3047,axehead (palstave),"Llandinam, Ffraithwen, Garthfawr",Wales,115,36,19,27,231
ID3060,axehead (palstave),"Llanddyfnan, Llanfair Mathafarn Eithaf (S of Chwarelau)",Wales,163,68,26,30,579.5
ID3144,axehead (palstave),"Llanddwye-is-y-graig, Cors-y-gedol",Wales,146.5,48,24,30,445
ID3046,axehead (palstave),"Llandderfel, Drewgoed (near)",Wales,156.5,59,23,28,480
ID2279,axehead (palstave),"Llanddeiniolen, Carreg y Garth (above Pentir Hall)",Wales,182,70,24,33,643.7
ID5970,axehead (palstave),"Llanddaniel Fab, Bryn-celli-ddu (near, Cae Nant field)",Wales,165,54,22,30,410
ID3264,axehead (palstave),"Llandanwg, Harlech (near)",Wales,138,37,20,31,318.4
ID5479,axehead (palstave),"Llandanwg, Harlech",Wales,164,63,19,26,349.28
ID3044,axehead (palstave),"Llanbister, Fronhir, Littlehill Common (midway between Crossways and Tower Hill)",Wales,159,69,21,30,380.5
ID2281,axehead (palstave),"Llanberis (near Llanberis Lake), Glyn Rhonwy quarries?",Wales,167,68,17,33,448.2
ID2289,axehead (palstave),"Llanberis (near Llanberis Lake), Glyn Rhonwy quarries?",Wales,167,68,18,32,480
ID2285,axehead (palstave),"Llanbeblig, Waenfawr (Castellmai, near Old House)",Wales,179,73,23,38,612.5
ID3037,axehead (palstave),"Little Wenlock, The Wrekin",England,160,63,22,35,539
ID11602,axehead (palstave),Little Ness (parish),England,159,59,19.8,35.5,458.5
